myFlowerExperiment | INFO flwr 2023-10-11 22:09:49,782 | app.py:148 | Starting Flower server, config: ServerConfig(num_rounds=5, round_timeout=None)
myFlowerExperiment | DEBUG flwr 2023-10-11 22:52:36,713 | server.py:168 | evaluate_round 1: strategy sampled 3 clients (out of 3)
myFlowerExperiment | DEBUG flwr 2023-10-11 22:52:40,051 | server.py:182 | evaluate_round 1 received 3 results and 0 failures
myFlowerExperiment | WARNING flwr 2023-10-11 22:52:40,052 | fedavg.py:274 | No evaluate_metrics_aggregation_fn provided
myFlowerExperiment | DEBUG flwr 2023-10-11 22:52:40,052 | server.py:218 | fit_round 2: strategy sampled 3 clients (out of 3)
myFlowerExperiment | DEBUG flwr 2023-10-11 22:53:03,654 | server.py:232 | fit_round 2 received 3 results and 0 failures
myFlowerExperiment | DEBUG flwr 2023-10-11 22:53:03,697 | server.py:168 | evaluate_round 2: strategy sampled 3 clients (out of 3)
myFlowerExperiment | DEBUG flwr 2023-10-11 22:53:06,249 | server.py:182 | evaluate_round 2 received 3 results and 0 failures
myFlowerExperiment | DEBUG flwr 2023-10-11 22:53:06,250 | server.py:218 | fit_round 3: strategy sampled 3 clients (out of 3)
myFlowerExperiment | DEBUG flwr 2023-10-11 22:53:47,337 | server.py:232 | fit_round 3 received 3 results and 0 failures
myFlowerExperiment | DEBUG flwr 2023-10-11 22:53:47,386 | server.py:168 | evaluate_round 3: strategy sampled 3 clients (out of 3)
myFlowerExperiment | DEBUG flwr 2023-10-11 22:53:49,603 | server.py:182 | evaluate_round 3 received 3 results and 0 failures
myFlowerExperiment | DEBUG flwr 2023-10-11 22:53:49,604 | server.py:218 | fit_round 4: strategy sampled 3 clients (out of 3)
myFlowerExperiment | DEBUG flwr 2023-10-11 22:54:10,809 | server.py:232 | fit_round 4 received 3 results and 0 failures
myFlowerExperiment | DEBUG flwr 2023-10-11 22:54:10,908 | server.py:168 | evaluate_round 4: strategy sampled 3 clients (out of 3)
myFlowerExperiment | DEBUG flwr 2023-10-11 22:54:13,480 | server.py:182 | evaluate_round 4 received 3 results and 0 failures
myFlowerExperiment | DEBUG flwr 2023-10-11 22:54:13,480 | server.py:218 | fit_round 5: strategy sampled 3 clients (out of 3)
myFlowerExperiment | DEBUG flwr 2023-10-11 22:54:37,646 | server.py:232 | fit_round 5 received 3 results and 0 failures
myFlowerExperiment | DEBUG flwr 2023-10-11 22:54:37,709 | server.py:168 | evaluate_round 5: strategy sampled 3 clients (out of 3)
myFlowerExperiment | DEBUG flwr 2023-10-11 22:54:40,270 | server.py:182 | evaluate_round 5 received 3 results and 0 failures
myFlowerExperiment | INFO flwr 2023-10-11 22:54:40,270 | server.py:147 | FL finished in 154.9404963
myFlowerExperiment | INFO flwr 2023-10-11 22:54:40,272 | app.py:218 | app_fit: losses_distributed [(1, 0.43867040673891705), (2, 0.328864852587382), (3, 0.2776153435309728), (4, 0.2611631155014038), (5, 0.2465544988711675)]
myFlowerExperiment | INFO flwr 2023-10-11 22:54:40,272 | app.py:219 | app_fit: metrics_distributed_fit {}
myFlowerExperiment | INFO flwr 2023-10-11 22:54:40,273 | app.py:220 | app_fit: metrics_distributed {}
myFlowerExperiment | INFO flwr 2023-10-11 22:54:40,274 | app.py:221 | app_fit: losses_centralized []
myFlowerExperiment | INFO flwr 2023-10-11 22:54:40,274 | app.py:222 | app_fit: metrics_centralized {}
myFlowerExperiment | INFO flwr 2023-10-12 13:03:08,276 | app.py:148 | Starting Flower server, config: ServerConfig(num_rounds=5, round_timeout=None)
myFlowerExperiment | INFO flwr 2023-10-12 13:03:08,305 | app.py:168 | Flower ECE: gRPC server running (5 rounds), SSL is disabled
myFlowerExperiment | INFO flwr 2023-10-12 13:03:08,306 | server.py:86 | Initializing global parameters
myFlowerExperiment | INFO flwr 2023-10-12 13:03:08,306 | server.py:273 | Requesting initial parameters from one random client
myFlowerExperiment | INFO flwr 2023-10-12 13:03:48,944 | server.py:277 | Received initial parameters from one random client
myFlowerExperiment | INFO flwr 2023-10-12 13:03:48,945 | server.py:88 | Evaluating initial parameters
myFlowerExperiment | INFO flwr 2023-10-12 13:03:48,945 | server.py:101 | FL starting
myFlowerExperiment | DEBUG flwr 2023-10-12 13:04:04,588 | server.py:218 | fit_round 1: strategy sampled 3 clients (out of 3)
myFlowerExperiment | DEBUG flwr 2023-10-12 13:04:36,642 | server.py:232 | fit_round 1 received 3 results and 0 failures
myFlowerExperiment | WARNING flwr 2023-10-12 13:04:36,684 | fedmedian.py:156 | No fit_metrics_aggregation_fn provided
myFlowerExperiment | DEBUG flwr 2023-10-12 13:04:36,684 | server.py:168 | evaluate_round 1: strategy sampled 3 clients (out of 3)
myFlowerExperiment | DEBUG flwr 2023-10-12 13:04:40,222 | server.py:182 | evaluate_round 1 received 3 results and 0 failures
myFlowerExperiment | WARNING flwr 2023-10-12 13:04:40,222 | fedavg.py:274 | No evaluate_metrics_aggregation_fn provided
myFlowerExperiment | DEBUG flwr 2023-10-12 13:04:40,224 | server.py:218 | fit_round 2: strategy sampled 3 clients (out of 3)
myFlowerExperiment | DEBUG flwr 2023-10-12 13:05:08,704 | server.py:232 | fit_round 2 received 3 results and 0 failures
myFlowerExperiment | DEBUG flwr 2023-10-12 13:05:08,744 | server.py:168 | evaluate_round 2: strategy sampled 3 clients (out of 3)
myFlowerExperiment | DEBUG flwr 2023-10-12 13:05:12,289 | server.py:182 | evaluate_round 2 received 3 results and 0 failures
myFlowerExperiment | DEBUG flwr 2023-10-12 13:05:12,289 | server.py:218 | fit_round 3: strategy sampled 3 clients (out of 3)
myFlowerExperiment | DEBUG flwr 2023-10-12 13:05:41,863 | server.py:232 | fit_round 3 received 3 results and 0 failures
myFlowerExperiment | DEBUG flwr 2023-10-12 13:05:41,905 | server.py:168 | evaluate_round 3: strategy sampled 3 clients (out of 3)
myFlowerExperiment | DEBUG flwr 2023-10-12 13:05:45,307 | server.py:182 | evaluate_round 3 received 3 results and 0 failures
myFlowerExperiment | DEBUG flwr 2023-10-12 13:05:45,308 | server.py:218 | fit_round 4: strategy sampled 3 clients (out of 3)
myFlowerExperiment | DEBUG flwr 2023-10-12 13:06:14,203 | server.py:232 | fit_round 4 received 3 results and 0 failures
myFlowerExperiment | DEBUG flwr 2023-10-12 13:06:14,240 | server.py:168 | evaluate_round 4: strategy sampled 3 clients (out of 3)
myFlowerExperiment | DEBUG flwr 2023-10-12 13:06:17,650 | server.py:182 | evaluate_round 4 received 3 results and 0 failures
myFlowerExperiment | DEBUG flwr 2023-10-12 13:06:17,651 | server.py:218 | fit_round 5: strategy sampled 3 clients (out of 3)
myFlowerExperiment | DEBUG flwr 2023-10-12 13:06:47,289 | server.py:232 | fit_round 5 received 3 results and 0 failures
myFlowerExperiment | DEBUG flwr 2023-10-12 13:06:47,332 | server.py:168 | evaluate_round 5: strategy sampled 3 clients (out of 3)
myFlowerExperiment | DEBUG flwr 2023-10-12 13:06:52,146 | server.py:182 | evaluate_round 5 received 3 results and 0 failures
myFlowerExperiment | INFO flwr 2023-10-12 13:06:52,147 | server.py:147 | FL finished in 183.2019406
myFlowerExperiment | INFO flwr 2023-10-12 13:06:52,148 | app.py:218 | app_fit: losses_distributed [(1, 0.4170190095901489), (2, 0.3199797769387563), (3, 0.28628648817539215), (4, 0.26477045317490894), (5, 0.2630530347426732)]
myFlowerExperiment | INFO flwr 2023-10-12 13:06:52,148 | app.py:219 | app_fit: metrics_distributed_fit {}
myFlowerExperiment | INFO flwr 2023-10-12 13:06:52,148 | app.py:220 | app_fit: metrics_distributed {}
myFlowerExperiment | INFO flwr 2023-10-12 13:06:52,148 | app.py:221 | app_fit: losses_centralized []
myFlowerExperiment | INFO flwr 2023-10-12 13:06:52,148 | app.py:222 | app_fit: metrics_centralized {}
myFlowerExperiment | INFO flwr 2023-10-12 13:10:54,346 | app.py:148 | Starting Flower server, config: ServerConfig(num_rounds=5, round_timeout=None)
myFlowerExperiment | INFO flwr 2023-10-12 13:10:54,353 | app.py:168 | Flower ECE: gRPC server running (5 rounds), SSL is disabled
myFlowerExperiment | INFO flwr 2023-10-12 13:10:54,353 | server.py:86 | Initializing global parameters
myFlowerExperiment | INFO flwr 2023-10-12 13:10:54,353 | server.py:273 | Requesting initial parameters from one random client
myFlowerExperiment | INFO flwr 2023-10-12 13:11:03,404 | server.py:277 | Received initial parameters from one random client
myFlowerExperiment | INFO flwr 2023-10-12 13:11:03,404 | server.py:88 | Evaluating initial parameters
myFlowerExperiment | INFO flwr 2023-10-12 13:11:03,404 | server.py:101 | FL starting
myFlowerExperiment | DEBUG flwr 2023-10-12 13:11:08,576 | server.py:218 | fit_round 1: strategy sampled 3 clients (out of 3)
myFlowerExperiment | DEBUG flwr 2023-10-12 13:11:35,197 | server.py:232 | fit_round 1 received 3 results and 0 failures
myFlowerExperiment | WARNING flwr 2023-10-12 13:11:35,233 | fedmedian.py:156 | No fit_metrics_aggregation_fn provided
myFlowerExperiment | DEBUG flwr 2023-10-12 13:11:35,233 | server.py:168 | evaluate_round 1: strategy sampled 3 clients (out of 3)
myFlowerExperiment | DEBUG flwr 2023-10-12 13:12:13,180 | server.py:182 | evaluate_round 1 received 0 results and 3 failures
myFlowerExperiment | INFO flwr 2023-10-12 13:13:15,914 | app.py:148 | Starting Flower server, config: ServerConfig(num_rounds=5, round_timeout=None)
myFlowerExperiment | INFO flwr 2023-10-12 13:13:15,923 | app.py:168 | Flower ECE: gRPC server running (5 rounds), SSL is disabled
myFlowerExperiment | INFO flwr 2023-10-12 13:13:15,923 | server.py:86 | Initializing global parameters
myFlowerExperiment | INFO flwr 2023-10-12 13:13:15,923 | server.py:273 | Requesting initial parameters from one random client
myFlowerExperiment | INFO flwr 2023-10-12 13:13:29,517 | server.py:277 | Received initial parameters from one random client
myFlowerExperiment | INFO flwr 2023-10-12 13:13:29,517 | server.py:88 | Evaluating initial parameters
myFlowerExperiment | INFO flwr 2023-10-12 13:13:29,517 | server.py:101 | FL starting
myFlowerExperiment | DEBUG flwr 2023-10-12 13:13:34,329 | server.py:218 | fit_round 1: strategy sampled 3 clients (out of 3)
myFlowerExperiment | DEBUG flwr 2023-10-12 13:14:20,073 | server.py:232 | fit_round 1 received 3 results and 0 failures
myFlowerExperiment | WARNING flwr 2023-10-12 13:14:20,104 | fedmedian.py:156 | No fit_metrics_aggregation_fn provided
myFlowerExperiment | DEBUG flwr 2023-10-12 13:14:20,104 | server.py:168 | evaluate_round 1: strategy sampled 3 clients (out of 3)
myFlowerExperiment | DEBUG flwr 2023-10-12 13:35:30,148 | server.py:182 | evaluate_round 1 received 0 results and 3 failures
myFlowerExperiment | INFO flwr 2023-10-12 13:35:55,881 | app.py:148 | Starting Flower server, config: ServerConfig(num_rounds=5, round_timeout=None)
myFlowerExperiment | INFO flwr 2023-10-12 13:35:55,905 | app.py:168 | Flower ECE: gRPC server running (5 rounds), SSL is disabled
myFlowerExperiment | INFO flwr 2023-10-12 13:35:55,905 | server.py:86 | Initializing global parameters
myFlowerExperiment | INFO flwr 2023-10-12 13:35:55,905 | server.py:273 | Requesting initial parameters from one random client
myFlowerExperiment | INFO flwr 2023-10-12 14:29:53,432 | app.py:148 | Starting Flower server, config: ServerConfig(num_rounds=5, round_timeout=None)
myFlowerExperiment | INFO flwr 2023-10-12 14:29:53,470 | app.py:168 | Flower ECE: gRPC server running (5 rounds), SSL is disabled
myFlowerExperiment | INFO flwr 2023-10-12 14:29:53,471 | server.py:86 | Initializing global parameters
myFlowerExperiment | INFO flwr 2023-10-12 14:29:53,471 | server.py:273 | Requesting initial parameters from one random client
myFlowerExperiment | INFO flwr 2023-10-12 14:30:01,790 | app.py:148 | Starting Flower server, config: ServerConfig(num_rounds=5, round_timeout=None)
myFlowerExperiment | INFO flwr 2023-10-12 14:30:01,814 | app.py:168 | Flower ECE: gRPC server running (5 rounds), SSL is disabled
myFlowerExperiment | INFO flwr 2023-10-12 14:30:01,814 | server.py:86 | Initializing global parameters
myFlowerExperiment | INFO flwr 2023-10-12 14:30:01,815 | server.py:273 | Requesting initial parameters from one random client
myFlowerExperiment | INFO flwr 2023-10-12 14:30:43,804 | server.py:277 | Received initial parameters from one random client
myFlowerExperiment | INFO flwr 2023-10-12 14:30:43,804 | server.py:88 | Evaluating initial parameters
myFlowerExperiment | INFO flwr 2023-10-12 14:30:43,805 | server.py:101 | FL starting
myFlowerExperiment | DEBUG flwr 2023-10-12 14:30:45,507 | server.py:218 | fit_round 1: strategy sampled 3 clients (out of 3)
myFlowerExperiment | DEBUG flwr 2023-10-12 14:31:14,401 | server.py:232 | fit_round 1 received 3 results and 0 failures
myFlowerExperiment | WARNING flwr 2023-10-12 14:31:14,434 | fedmedian.py:156 | No fit_metrics_aggregation_fn provided
myFlowerExperiment | DEBUG flwr 2023-10-12 14:31:14,434 | server.py:168 | evaluate_round 1: strategy sampled 3 clients (out of 3)
myFlowerExperiment | DEBUG flwr 2023-10-12 14:32:15,279 | server.py:182 | evaluate_round 1 received 0 results and 3 failures
myFlowerExperiment | DEBUG flwr 2023-10-12 14:32:59,820 | server.py:218 | fit_round 2: strategy sampled 3 clients (out of 3)
myFlowerExperiment | DEBUG flwr 2023-10-12 14:33:34,199 | server.py:232 | fit_round 2 received 3 results and 0 failures
myFlowerExperiment | DEBUG flwr 2023-10-12 14:33:34,245 | server.py:168 | evaluate_round 2: strategy sampled 3 clients (out of 3)
myFlowerExperiment | DEBUG flwr 2023-10-12 14:35:23,254 | server.py:182 | evaluate_round 2 received 0 results and 3 failures
myFlowerExperiment | INFO flwr 2023-10-12 14:37:37,230 | app.py:148 | Starting Flower server, config: ServerConfig(num_rounds=5, round_timeout=None)
myFlowerExperiment | INFO flwr 2023-10-12 14:37:37,254 | app.py:168 | Flower ECE: gRPC server running (5 rounds), SSL is disabled
myFlowerExperiment | INFO flwr 2023-10-12 14:37:37,254 | server.py:86 | Initializing global parameters
myFlowerExperiment | INFO flwr 2023-10-12 14:37:37,254 | server.py:273 | Requesting initial parameters from one random client
myFlowerExperiment | INFO flwr 2023-10-12 14:37:44,972 | server.py:277 | Received initial parameters from one random client
myFlowerExperiment | INFO flwr 2023-10-12 14:37:44,972 | server.py:88 | Evaluating initial parameters
myFlowerExperiment | INFO flwr 2023-10-12 14:37:44,972 | server.py:101 | FL starting
myFlowerExperiment | DEBUG flwr 2023-10-12 14:37:51,440 | server.py:218 | fit_round 1: strategy sampled 3 clients (out of 3)
myFlowerExperiment | DEBUG flwr 2023-10-12 14:38:22,360 | server.py:232 | fit_round 1 received 3 results and 0 failures
myFlowerExperiment | WARNING flwr 2023-10-12 14:38:22,403 | fedmedian.py:156 | No fit_metrics_aggregation_fn provided
myFlowerExperiment | DEBUG flwr 2023-10-12 14:38:22,403 | server.py:168 | evaluate_round 1: strategy sampled 3 clients (out of 3)
myFlowerExperiment | DEBUG flwr 2023-10-12 14:39:40,563 | server.py:182 | evaluate_round 1 received 0 results and 3 failures
myFlowerExperiment | DEBUG flwr 2023-10-12 14:40:53,371 | server.py:218 | fit_round 2: strategy sampled 3 clients (out of 3)
myFlowerExperiment | DEBUG flwr 2023-10-12 14:41:21,704 | server.py:232 | fit_round 2 received 3 results and 0 failures
myFlowerExperiment | DEBUG flwr 2023-10-12 14:41:21,736 | server.py:168 | evaluate_round 2: strategy sampled 3 clients (out of 3)
myFlowerExperiment | DEBUG flwr 2023-10-12 14:41:32,384 | server.py:182 | evaluate_round 2 received 0 results and 3 failures
myFlowerExperiment | INFO flwr 2023-10-12 14:42:35,568 | app.py:148 | Starting Flower server, config: ServerConfig(num_rounds=5, round_timeout=None)
myFlowerExperiment | INFO flwr 2023-10-12 14:42:35,573 | app.py:168 | Flower ECE: gRPC server running (5 rounds), SSL is disabled
myFlowerExperiment | INFO flwr 2023-10-12 14:42:35,573 | server.py:86 | Initializing global parameters
myFlowerExperiment | INFO flwr 2023-10-12 14:42:35,574 | server.py:273 | Requesting initial parameters from one random client
myFlowerExperiment | INFO flwr 2023-10-12 14:42:52,982 | server.py:277 | Received initial parameters from one random client
myFlowerExperiment | INFO flwr 2023-10-12 14:42:52,982 | server.py:88 | Evaluating initial parameters
myFlowerExperiment | INFO flwr 2023-10-12 14:42:52,982 | server.py:101 | FL starting
myFlowerExperiment | DEBUG flwr 2023-10-12 14:42:59,200 | server.py:218 | fit_round 1: strategy sampled 3 clients (out of 3)
myFlowerExperiment | DEBUG flwr 2023-10-12 14:43:31,191 | server.py:232 | fit_round 1 received 3 results and 0 failures
myFlowerExperiment | WARNING flwr 2023-10-12 14:43:31,221 | fedmedian.py:156 | No fit_metrics_aggregation_fn provided
myFlowerExperiment | DEBUG flwr 2023-10-12 14:43:31,221 | server.py:168 | evaluate_round 1: strategy sampled 3 clients (out of 3)
myFlowerExperiment | DEBUG flwr 2023-10-12 14:43:34,843 | server.py:182 | evaluate_round 1 received 3 results and 0 failures
myFlowerExperiment | WARNING flwr 2023-10-12 14:43:34,843 | fedavg.py:274 | No evaluate_metrics_aggregation_fn provided
myFlowerExperiment | DEBUG flwr 2023-10-12 14:43:34,843 | server.py:218 | fit_round 2: strategy sampled 3 clients (out of 3)
myFlowerExperiment | DEBUG flwr 2023-10-12 14:44:01,045 | server.py:232 | fit_round 2 received 3 results and 0 failures
myFlowerExperiment | DEBUG flwr 2023-10-12 14:44:01,074 | server.py:168 | evaluate_round 2: strategy sampled 3 clients (out of 3)
myFlowerExperiment | DEBUG flwr 2023-10-12 14:44:03,766 | server.py:182 | evaluate_round 2 received 3 results and 0 failures
myFlowerExperiment | DEBUG flwr 2023-10-12 14:44:03,766 | server.py:218 | fit_round 3: strategy sampled 3 clients (out of 3)
myFlowerExperiment | DEBUG flwr 2023-10-12 14:44:44,863 | server.py:232 | fit_round 3 received 3 results and 0 failures
myFlowerExperiment | DEBUG flwr 2023-10-12 14:44:44,893 | server.py:168 | evaluate_round 3: strategy sampled 3 clients (out of 3)
myFlowerExperiment | DEBUG flwr 2023-10-12 14:44:47,456 | server.py:182 | evaluate_round 3 received 3 results and 0 failures
myFlowerExperiment | DEBUG flwr 2023-10-12 14:44:47,456 | server.py:218 | fit_round 4: strategy sampled 3 clients (out of 3)
myFlowerExperiment | DEBUG flwr 2023-10-12 14:45:10,475 | server.py:232 | fit_round 4 received 3 results and 0 failures
myFlowerExperiment | DEBUG flwr 2023-10-12 14:45:10,527 | server.py:168 | evaluate_round 4: strategy sampled 3 clients (out of 3)
myFlowerExperiment | DEBUG flwr 2023-10-12 14:45:13,177 | server.py:182 | evaluate_round 4 received 3 results and 0 failures
myFlowerExperiment | DEBUG flwr 2023-10-12 14:45:13,177 | server.py:218 | fit_round 5: strategy sampled 3 clients (out of 3)
myFlowerExperiment | DEBUG flwr 2023-10-12 14:45:40,108 | server.py:232 | fit_round 5 received 3 results and 0 failures
myFlowerExperiment | DEBUG flwr 2023-10-12 14:45:40,148 | server.py:168 | evaluate_round 5: strategy sampled 3 clients (out of 3)
myFlowerExperiment | DEBUG flwr 2023-10-12 14:45:42,832 | server.py:182 | evaluate_round 5 received 3 results and 0 failures
myFlowerExperiment | INFO flwr 2023-10-12 14:45:42,832 | server.py:147 | FL finished in 169.8501544
